플랫폼,스트리머,포인트,최고 시청자 순위,평균 시청자 순위,뷰어십 순위,방송시간,최고시청자,평균시청자,뷰어십
치지직,kirtw472832,1311.6,768,1719,1176,7,12,2.9571428571428573,20.7
치지직,채단우,1311.6,1166,1018,1678,1.6,8,5.8125,9.3
SOOP,콜로니,1311.8,1473,1342,1201,4.8,6,4.1875,20.1
치지직,해파리쏘아,1314,1292,1860,779,18.4,7,2.5,46
치지직,아라운검,1314.6,1055,1614,1145,6.8,9,3.25,22.1
치지직,초요 Choyo,1314.8,1292,1470,1171,5.6,7,3.732142857142857,20.9
치지직,마법소녀 나호,1316,1166,1069,1638,1.8,8,5.5,9.9
SOOP,_CHR_Horner_,1318.2,1667,1404,1058,6.4,5,3.984375,25.5
치지직,네페르,1318.2,1473,1218,1341,3.4,6,4.676470588235294,15.9
치지직,김숏달,1321.6,1292,1209,1449,2.9,7,4.724137931034483,13.7
